market,name,description,displayAddress,street,city,state,zipCode,timezone,latitude,longitude,averageRating,ratingCount,priceRange,imageUrl
"houston, tx",the toasted yolk cafe - heights,"  american, breakfast","the toasted yolk cafe - the heights, 4601 washington ave suite 130, houston, tx 77007, usa",4601 washington avenue,houston,tx,77007,US/Central,29.770325,-95.4078847,4.672715187,1488,Mid,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/ba0ac761-ed0b-464b-b0e8-9867d7f0d0f7.png"
"houston, tx",deli deluxe,"  indian, deli","deli deluxe, 1001 mckinney st, houston, tx 77002, usa",1001 mckinney street,houston,tx,77002,US/Central,29.756905,-95.3643095,4.696969986,33,Mid,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/78c73f62-0838-462b-a653-650bd9ff8de1.png"
"houston, tx",fadi's eatery,"  middle east, pickup","1801 binz st #130, houston, tx 77004, usa",1801 binz street,houston,tx,77004,US/Central,29.7216851,-95.3820697,4.689270973,1976,Mid,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/fadis_eatery_logo.jpg"
"houston, tx",fusion taco,"  takeout, mexican","4706 n main st, houston, tx 77009, usa",4706 north main street,houston,tx,77009,US/Central,29.7981353,-95.3823548,4.655801773,1534,Mid,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/1859896c-a26f-4286-b782-606ef84e63fd.png"
"houston, tx",be more pacific,"  filipino, asian","be more pacific, 506 yale st suite e, houston, tx 77007, usa",506 yale street,houston,tx,77007,US/Central,29.779766,-95.3985646,4.455751896,226,Mid,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/bc3df604-86ae-497e-a36c-7a6840dfe008.png"
"houston, tx",taqueria monchys,"  mexican, breakfast","719 telephone rd, houston, tx 77023, usa",719 telephone road,houston,tx,77023,US/Central,29.7347101,-95.330246,4.622317791,233,Mid,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/24fa3f6d-fb30-445d-8aa2-785939150546.png"
"houston, tx",j78togo,"  crab, rice","2601 blodgett st, houston, tx 77004, usa",2601 blodgett street,houston,tx,77004,US/Central,29.7240539,-95.3702999,4.580645084,62,Mid,unknown
"houston, tx",fabian's latin flavor's,"  spanish, tacos","fabian's latin flavors, 301 main st, houston, tx 77002, usa",301 main street,houston,tx,77002,US/Central,29.7620922,-95.3606905,4.563635826,55,Mid,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/6a2246f5-c7ea-4e28-9e4c-15fef3975622.png"
"houston, tx",day 6 coffee,"  snacks, sweets","day 6 coffee co., 910 prairie st suite 100, houston, tx 77002, usa",910 prairie street,houston,tx,77002,US/Central,29.7608745,-95.362557,4.805881977,340,Mid,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/66e48d61-9104-4d79-9bc7-7569fbdc9e99.png"
"houston, tx",dumpling haus noodles & rice,"  chinese, dumplings","dumpling haus, 2313 edwards st ste. 180, houston, tx 77007, usa",2313 edwards street,houston,tx,77007,US/Central,29.7700994,-95.3817322,4.783172131,309,Mid,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/9fad5cd0-ec5e-401e-ac74-c8f7e460fee6.png"
"houston, tx",johnny's chef - vietnamese cuisine - noodleboss,"  chicken, fruit tea","2616 blodgett st, houston, tx 77004, usa",2616 blodgett street,houston,tx,77004,US/Central,29.7226889,-95.3704827,4.386363983,44,Mid,unknown
"houston, tx",pizza dog,"  pizza, hot dogs","2616 blodgett st, houston, tx 77004, usa",2616 blodgett street,houston,tx,77004,US/Central,29.7226889,-95.3704827,4.551723957,145,Mid,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/28f5b4ba-ed2a-47f0-b9d8-ec26d51bb0ed.jpg"
"houston, tx",bodegga by snooze,"  sandwiches, bacon egg & cheese","3217 montrose blvd, houston, tx 77006, usa",3217 montrose boulevard,houston,tx,77006,US/Central,29.7440024,-95.3909796,4.333333015,48,Mid,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/75894e6a-18a4-4e64-94f5-53d1d6f8bfad.png"
"houston, tx",brown bag deli,"  american, deli","2540 amherst st, houston, tx 77005, usa",2540 amherst street,houston,tx,77005,US/Central,29.7161001,-95.4179793,4.811355114,1092,Mid,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/f443a047-9442-4d33-b318-058c6a3a0fa5.png"
"houston, tx",egghaus gourmet,"  takeout, healthy","2042 e t c jester blvd, houston, tx 77008, usa",2042 east t c jester boulevard,houston,tx,77008,US/Central,29.8042234,-95.4270536,4.704405785,3427,Mid,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/77ec5341-d711-4906-906e-c7aaf84f0ca8.png"
"houston, tx",dona tere mexican restaurant & tamales,"  breakfast, lunch","2616 blodgett st, houston, tx 77004, usa",2616 blodgett street,houston,tx,77004,US/Central,29.7226889,-95.3704827,3.984615088,65,Mid,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/dona_tera.jpg"
"houston, tx",red dessert,"  bakery, dessert","1045 studewood st, houston, tx 77008, usa",1045 studewood street,houston,tx,77008,US/Central,29.7903167,-95.3880167,4.760233879,171,Mid,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/b17085da-c7a8-420a-a8de-61adf1d2de7f.png"
"houston, tx",hugs & donuts,"  donuts, american","1901 n shepherd dr #4, houston, tx 77008, usa",1901 north shepherd drive,houston,tx,77008,US/Central,29.803042,-95.410641,4.776000023,1000,Low,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/cf43b18f-ca51-49a7-89b9-f4ae834a1949.png"
"houston, tx",baoz dumpling,"  chinese, dumplings","first city tower, 1001 fannin st, houston, tx 77002, usa",1001 fannin street,houston,tx,77002,US/Central,29.7559064,-95.3638873,4.761124134,427,Low,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/2b668092-4d1f-4989-8e0b-3b02c07aa036.png"
"houston, tx",melty shack,"  grilled cheese, sandwich","2616 blodgett st, houston, tx 77004, usa",2616 blodgett street,houston,tx,77004,US/Central,29.7226889,-95.3704827,4.4375,16,Mid,unknown
"houston, tx",snodreamz,"  desserts, black owned","3402 scott st, houston, tx 77004, usa",3402 scott street,houston,tx,77004,US/Central,29.7257272,-95.3505549,4.244443893,45,Mid,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/91bd62c5-d0fc-4762-b9a9-9f97598d1227.png"
"houston, tx",sam's cafe,"  chinese, asian","920 studemont st, houston, tx 77007, usa",920 studemont street,houston,tx,77007,US/Central,29.7675136,-95.3915905,4.647037983,2870,Mid,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/1d7291e4-857a-4271-9773-10dcd721534a.png"
"houston, tx",la carreta,"  mexican, enchiladas","208 e 20th st, houston, tx 77008, usa",208 east 20th street,houston,tx,77008,US/Central,29.8038257,-95.3965115,4.576243877,623,Mid,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/74786103-481d-4757-8a5b-a64d3186982a.png"
"houston, tx",high & dry rum bar,"  chicken, sandwiches","high & dry, 306 main st unit 200, houston, tx 77002, usa",306 main street,houston,tx,77002,US/Central,29.7621489,-95.3612231,0,0,Mid,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/eb96deee-98fb-4756-8aa7-41600587db7e.png"
